station_id,name,short_name,latitude,longitude,region_id,rental_methods,capacity,num_bikes_available,num_bikes_disabled,num_docks_available,num_docks_disabled,is_installed,is_renting,is_returning,last_reported,eightd_has_available_keys,eightd_has_key_dispenser
2010,Grand St & Greene St,5500.02,40.72165481,-74.00234737,71,"CREDITCARD,KEY",39,39,0,0,0,true,true,true,2018-10-09T00:00:00,false,false
323,Lawrence St & Willoughby St,4596.09,40.69236178,-73.98631746,71,"CREDITCARD,KEY",39,38,1,0,0,true,true,true,2018-10-09T00:00:00,false,false
3462,E 44 St & 2 Ave,6422.09,40.7511838746,-73.9713871479,71,"CREDITCARD,KEY",39,38,1,0,0,true,true,true,2018-10-09T00:00:00,false,false
415,Pearl St & Hanover Square,4993.02,40.7047177,-74.00926027,71,"CREDITCARD,KEY",42,41,1,0,0,true,true,true,2018-10-09T00:00:00,false,false
386,Centre St & Worth St,5279.03,40.71494807,-74.00234482,71,"CREDITCARD,KEY",43,39,4,0,0,true,true,true,2018-10-09T00:00:00,false,false
3457,E 58 St & Madison Ave,6839.04,40.7630259428,-73.9720952511,71,"CREDITCARD,KEY",46,44,2,0,0,true,true,true,2018-10-09T00:00:00,false,false
168,W 18 St & 6 Ave,6064.08,40.73971301,-73.99456405,71,"CREDITCARD,KEY",47,47,0,0,0,true,true,true,2018-10-09T00:00:00,false,false
496,E 16 St & 5 Ave,6022.04,40.73726186,-73.99238967,71,"CREDITCARD,KEY",47,46,1,0,0,true,true,true,2018-10-09T00:00:00,false,false
427,Bus Slip & State St,4889.06,40.701907,-74.013942,71,"CREDITCARD,KEY",47,43,4,0,0,true,true,true,2018-10-09T00:00:00,false,false
228,E 48 St & 3 Ave,6541.03,40.7546011026,-73.971878855,71,"CREDITCARD,KEY",55,52,3,0,0,true,true,true,2018-10-09T00:00:00,false,false
83,Atlantic Ave & Fort Greene Pl,4354.07,40.68382604,-73.97632328,71,"CREDITCARD,KEY",62,0,0,0,0,true,false,false,1970-01-01T00:00:00,false,false
3267,Morris Canal,JC072,40.7124188238,-74.0385255218,70,"CREDITCARD,KEY",14,12,0,1,1,true,true,true,2018-10-09T00:00:00,false,false
3692,5 St & Market St,4843.01,40.6999974844,-73.9744012803,71,"CREDITCARD,KEY",15,14,0,1,0,true,true,true,2018-10-09T00:00:00,false,false
3201,Dey St,JC065,40.737711,-74.066921,70,"CREDITCARD,KEY",18,17,0,1,0,true,true,true,2018-10-09T00:00:00,false,false
3638,Washington St,JC098,40.7242941,-74.0354826,70,"CREDITCARD,KEY",18,16,1,1,0,true,true,true,2018-10-09T00:00:00,false,false
