"BehaviorSpace results (NetLogo 6.0.4)"
"BSS.nlogo"
"Status-based_45_timestep1min_rep10"
"11/23/2018 15:44:55:639 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-6","6","-6","6"
"[run number]","sim_timestep_minutes","num_trucks","duration_to_pick","duration_to_drop","truck_capacity","truck_speed","wait_for_demo?","rebalancing_method","wait_time","pct_station_capacity_to_drop","pct_station_capacity_to_pick","truck_movement","shortage_threshold","days_to_simulate","[step]","simulated_out_of_bikes_count","simulated_out_of_docks_count","sim_elapsed_hours"
"56","1","1","5","5","20","0.27","false","Status-based","0.05","50","70","Asynchronized","3","7","10078","431","54","168"
"57","1","1","5","5","20","0.27","false","Status-based","0.05","50","70","Asynchronized","3","7","10078","479","57","168"
"58","1","1","5","5","20","0.27","false","Status-based","0.05","50","70","Asynchronized","3","7","10078","479","40","168"
"59","1","1","5","5","20","0.27","false","Status-based","0.05","50","70","Asynchronized","3","7","10078","548","71","168"
"60","1","1","5","5","20","0.27","false","Status-based","0.05","50","70","Asynchronized","3","7","10078","356","80","168"
"61","1","1","5","5","20","0.27","false","Status-based","0.05","70","30","Asynchronized","3","7","10078","545","107","168"
"62","1","1","5","5","20","0.27","false","Status-based","0.05","70","30","Asynchronized","3","7","10078","437","54","168"
"63","1","1","5","5","20","0.27","false","Status-based","0.05","70","30","Asynchronized","3","7","10078","489","44","168"
"64","1","1","5","5","20","0.27","false","Status-based","0.05","70","30","Asynchronized","3","7","10078","465","58","168"
"65","1","1","5","5","20","0.27","false","Status-based","0.05","70","30","Asynchronized","3","7","10078","424","57","168"
"66","1","1","5","5","20","0.27","false","Status-based","0.05","70","30","Asynchronized","3","7","10078","440","58","168"
"67","1","1","5","5","20","0.27","false","Status-based","0.05","70","30","Asynchronized","3","7","10078","376","48","168"
"68","1","1","5","5","20","0.27","false","Status-based","0.05","70","30","Asynchronized","3","7","10078","370","93","168"
"69","1","1","5","5","20","0.27","false","Status-based","0.05","70","30","Asynchronized","3","7","10078","467","73","168"
"70","1","1","5","5","20","0.27","false","Status-based","0.05","70","30","Asynchronized","3","7","10078","457","64","168"
"71","1","1","5","5","20","0.27","false","Status-based","0.05","70","50","Asynchronized","3","7","10078","469","46","168"
"72","1","1","5","5","20","0.27","false","Status-based","0.05","70","50","Asynchronized","3","7","10078","495","93","168"
"73","1","1","5","5","20","0.27","false","Status-based","0.05","70","50","Asynchronized","3","7","10078","453","49","168"
"74","1","1","5","5","20","0.27","false","Status-based","0.05","70","50","Asynchronized","3","7","10078","456","33","168"
"75","1","1","5","5","20","0.27","false","Status-based","0.05","70","50","Asynchronized","3","7","10078","460","58","168"
"76","1","1","5","5","20","0.27","false","Status-based","0.05","70","50","Asynchronized","3","7","10078","459","75","168"
"77","1","1","5","5","20","0.27","false","Status-based","0.05","70","50","Asynchronized","3","7","10078","492","44","168"
"78","1","1","5","5","20","0.27","false","Status-based","0.05","70","50","Asynchronized","3","7","10078","432","58","168"
"79","1","1","5","5","20","0.27","false","Status-based","0.05","70","50","Asynchronized","3","7","10078","493","84","168"
"80","1","1","5","5","20","0.27","false","Status-based","0.05","70","50","Asynchronized","3","7","10078","421","90","168"
"81","1","1","5","5","20","0.27","false","Status-based","0.05","70","70","Asynchronized","3","7","10078","464","53","168"
"82","1","1","5","5","20","0.27","false","Status-based","0.05","70","70","Asynchronized","3","7","10078","361","86","168"
"83","1","1","5","5","20","0.27","false","Status-based","0.05","70","70","Asynchronized","3","7","10078","489","41","168"
"84","1","1","5","5","20","0.27","false","Status-based","0.05","70","70","Asynchronized","3","7","10078","381","57","168"
"85","1","1","5","5","20","0.27","false","Status-based","0.05","70","70","Asynchronized","3","7","10078","452","70","168"
"86","1","1","5","5","20","0.27","false","Status-based","0.05","70","70","Asynchronized","3","7","10078","423","59","168"
"87","1","1","5","5","20","0.27","false","Status-based","0.05","70","70","Asynchronized","3","7","10078","409","75","168"
"88","1","1","5","5","20","0.27","false","Status-based","0.05","70","70","Asynchronized","3","7","10078","432","44","168"
"89","1","1","5","5","20","0.27","false","Status-based","0.05","70","70","Asynchronized","3","7","10078","431","41","168"
"90","1","1","5","5","20","0.27","false","Status-based","0.05","70","70","Asynchronized","3","7","10078","492","49","168"
"91","1","2","5","5","20","0.27","false","Status-based","0.05","30","30","Asynchronized","3","7","10078","270","93","168"
"92","1","2","5","5","20","0.27","false","Status-based","0.05","30","30","Asynchronized","3","7","10078","240","54","168"
"93","1","2","5","5","20","0.27","false","Status-based","0.05","30","30","Asynchronized","3","7","10078","295","52","168"
"94","1","2","5","5","20","0.27","false","Status-based","0.05","30","30","Asynchronized","3","7","10078","268","44","168"
"95","1","2","5","5","20","0.27","false","Status-based","0.05","30","30","Asynchronized","3","7","10078","332","39","168"
"96","1","2","5","5","20","0.27","false","Status-based","0.05","30","30","Asynchronized","3","7","10078","272","52","168"
"97","1","2","5","5","20","0.27","false","Status-based","0.05","30","30","Asynchronized","3","7","10078","340","48","168"
"98","1","2","5","5","20","0.27","false","Status-based","0.05","30","30","Asynchronized","3","7","10078","304","49","168"
"99","1","2","5","5","20","0.27","false","Status-based","0.05","30","30","Asynchronized","3","7","10078","271","55","168"
"100","1","2","5","5","20","0.27","false","Status-based","0.05","30","30","Asynchronized","3","7","10078","275","43","168"
"101","1","2","5","5","20","0.27","false","Status-based","0.05","30","50","Asynchronized","3","7","10078","297","45","168"
"102","1","2","5","5","20","0.27","false","Status-based","0.05","30","50","Asynchronized","3","7","10078","373","65","168"
"103","1","2","5","5","20","0.27","false","Status-based","0.05","30","50","Asynchronized","3","7","10078","305","64","168"
"104","1","2","5","5","20","0.27","false","Status-based","0.05","30","50","Asynchronized","3","7","10078","293","47","168"
