station_id_source,station_id_target,interstation_distance,interstation_distance_rank
3,14,0.35634410084128953,0
3,32,0.447536207736548,1
3,11,0.4935873867970512,2
3,45,0.5795105112216681,3
3,34,0.6876784169879533,4
3,62,0.7517838591778535,5
3,30,0.7540259373848572,6
3,5,0.8985842827483056,7
3,19,0.9305976546252557,8
3,33,1.054804491703207,9
3,27,1.064312748367226,10
3,12,1.1129227061240303,11
3,10,1.1924399830447943,12
3,46,1.2994678620143814,13
3,55,1.3216806305476643,14
3,86,1.5009516878343707,15
3,53,1.5025869213536414,16
3,52,1.559507503450035,17
3,57,1.587878046807504,18
3,21,1.640960729258184,19
3,61,1.756223882725304,20
3,82,1.770392126466149,21
3,9,1.7820389868424473,22
3,69,1.8645515379878137,23
3,51,1.8786302571631628,24
3,56,1.9486451827269808,25
3,25,1.9802545857380578,26
3,67,2.1039301697217385,27
3,16,2.1916841353477943,28
3,39,2.2000428919365707,29
3,36,2.2140880827763225,30
3,13,2.304439607078006,31
3,41,2.333732049686749,32
3,50,2.548719336950974,33
3,75,2.615136542755143,34
3,26,2.6332510298704217,35
3,80,2.638516895698238,36
3,4,2.639020837714648,37
3,68,2.788824892100394,38
3,42,2.8439379243360765,39
3,72,2.862269001532861,40
3,58,2.8858695099578,41
3,66,2.897089249393987,42
3,76,2.95834030325762,43
3,91,3.0118018477348225,44
3,49,3.101547314756327,45
3,87,3.1543150928852457,46
3,17,3.1836886276932526,47
3,83,3.272921319830643,48
3,29,3.281334171696124,49
3,8,3.3515557459024943,50
3,60,3.3579536852705854,51
3,81,3.4302678112133735,52
3,54,3.50572676633323,53
3,97,3.5078248125365445,54
3,18,3.5253029979686734,55
3,84,3.60415504082793,56
3,63,3.6332036071862115,57
3,59,3.6398126836306863,58
3,95,3.697271069554889,59
3,85,3.7518881080670856,60
3,6,3.770650408330855,61
3,88,3.7786223550062625,62
3,96,3.8006599370035317,63
3,35,3.8095824056962617,64
3,15,3.8961477218587195,65
3,90,3.927669837875053,66
3,22,3.9666680352566575,67
3,74,3.9725892593311847,68
3,70,3.976950805127854,69
3,73,4.042730943921343,70
3,23,4.05342650208546,71
3,48,4.177575399591157,72
3,37,4.219413204695931,73
3,44,4.280966070466544,74
3,79,4.305867587157672,75
3,38,4.393995273275142,76
3,64,4.39570650243618,77
3,78,4.4237625255443875,78
3,47,4.472164763103169,79
3,43,4.54612603809005,80
3,89,4.608929480083507,81
3,20,4.610147752687692,82
3,93,4.634425406237549,83
3,24,4.745558786051925,84
3,65,4.746527125365912,85
3,71,4.851376980604449,86
3,98,4.86242790523664,87
3,7,4.862941461019261,88
3,40,4.8934507775755165,89
3,94,4.951587005633435,90
3,31,4.964554930302434,91
3,77,5.167627058556508,92
3,92,6.213974150160203,93
4,26,0.43366671341127383,0
4,16,0.5851747330450838,1
4,49,0.6954634119298402,2
4,50,0.7047591496277095,3
4,25,0.7472878263003486,4
4,42,0.7473228951042625,5
4,36,0.7920376150139542,6
4,39,0.840790326362393,7
4,81,0.966566280963361,8
4,63,1.046245654423192,9
4,21,1.0699351402096964,10
4,59,1.0733337282832647,11
4,57,1.109487262120774,12
4,61,1.1241490619845675,13
