"BehaviorSpace results (NetLogo 6.0.4)"
"BSS.nlogo"
"Status-based_20_timestep1min_rep10"
"11/24/2018 20:38:39:036 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-6","6","-6","6"
"[run number]","sim_timestep_minutes","num_trucks","duration_to_pick","duration_to_drop","truck_capacity","truck_speed","wait_for_demo?","rebalancing_method","wait_time","pct_station_capacity_to_move","truck_movement","shortage_threshold","days_to_simulate","[step]","simulated_out_of_bikes_count","simulated_out_of_docks_count","sim_elapsed_hours"
"50","1","5","5","5","20","0.27","false","Status-based","0.05","20","Asynchronized","3","7","10078","46","3","168"
"51","1","1","5","5","20","0.27","false","Status-based","0.05","30","Asynchronized","3","7","10078","317","63","168"
"52","1","2","5","5","20","0.27","false","Status-based","0.05","30","Asynchronized","3","7","10078","144","11","168"
"53","1","3","5","5","20","0.27","false","Status-based","0.05","30","Asynchronized","3","7","10078","119","26","168"
"54","1","4","5","5","20","0.27","false","Status-based","0.05","30","Asynchronized","3","7","10078","146","22","168"
"55","1","5","5","5","20","0.27","false","Status-based","0.05","30","Asynchronized","3","7","10078","168","10","168"
"56","1","1","5","5","20","0.27","false","Status-based","0.05","40","Asynchronized","3","7","10078","437","51","168"
"57","1","2","5","5","20","0.27","false","Status-based","0.05","40","Asynchronized","3","7","10078","164","28","168"
"58","1","3","5","5","20","0.27","false","Status-based","0.05","40","Asynchronized","3","7","10078","141","27","168"
"59","1","4","5","5","20","0.27","false","Status-based","0.05","40","Asynchronized","3","7","10078","194","37","168"
"60","1","5","5","5","20","0.27","false","Status-based","0.05","40","Asynchronized","3","7","10078","205","43","168"
"61","1","1","5","5","20","0.27","false","Status-based","0.05","10","Asynchronized","3","7","10078","643","149","168"
"62","1","2","5","5","20","0.27","false","Status-based","0.05","10","Asynchronized","3","7","10078","194","30","168"
"63","1","3","5","5","20","0.27","false","Status-based","0.05","10","Asynchronized","3","7","10078","127","5","168"
"64","1","4","5","5","20","0.27","false","Status-based","0.05","10","Asynchronized","3","7","10078","55","1","168"
"65","1","5","5","5","20","0.27","false","Status-based","0.05","10","Asynchronized","3","7","10078","46","5","168"
"66","1","1","5","5","20","0.27","false","Status-based","0.05","20","Asynchronized","3","7","10078","432","93","168"
"67","1","2","5","5","20","0.27","false","Status-based","0.05","20","Asynchronized","3","7","10078","131","9","168"
"68","1","3","5","5","20","0.27","false","Status-based","0.05","20","Asynchronized","3","7","10078","79","8","168"
"69","1","4","5","5","20","0.27","false","Status-based","0.05","20","Asynchronized","3","7","10078","58","3","168"
"70","1","5","5","5","20","0.27","false","Status-based","0.05","20","Asynchronized","3","7","10078","63","5","168"
"71","1","1","5","5","20","0.27","false","Status-based","0.05","30","Asynchronized","3","7","10078","408","64","168"
"72","1","2","5","5","20","0.27","false","Status-based","0.05","30","Asynchronized","3","7","10078","132","31","168"
"73","1","3","5","5","20","0.27","false","Status-based","0.05","30","Asynchronized","3","7","10078","137","17","168"
"74","1","4","5","5","20","0.27","false","Status-based","0.05","30","Asynchronized","3","7","10078","161","18","168"
"75","1","5","5","5","20","0.27","false","Status-based","0.05","30","Asynchronized","3","7","10078","194","21","168"
"76","1","1","5","5","20","0.27","false","Status-based","0.05","40","Asynchronized","3","7","10078","380","40","168"
"77","1","2","5","5","20","0.27","false","Status-based","0.05","40","Asynchronized","3","7","10078","159","24","168"
"78","1","3","5","5","20","0.27","false","Status-based","0.05","40","Asynchronized","3","7","10078","187","20","168"
"79","1","4","5","5","20","0.27","false","Status-based","0.05","40","Asynchronized","3","7","10078","192","27","168"
"80","1","5","5","5","20","0.27","false","Status-based","0.05","40","Asynchronized","3","7","10078","199","58","168"
"81","1","1","5","5","20","0.27","false","Status-based","0.05","10","Asynchronized","3","7","10078","723","231","168"
"82","1","2","5","5","20","0.27","false","Status-based","0.05","10","Asynchronized","3","7","10078","218","27","168"
"83","1","3","5","5","20","0.27","false","Status-based","0.05","10","Asynchronized","3","7","10078","154","31","168"
"84","1","4","5","5","20","0.27","false","Status-based","0.05","10","Asynchronized","3","7","10078","60","1","168"
"85","1","5","5","5","20","0.27","false","Status-based","0.05","10","Asynchronized","3","7","10078","63","3","168"
"86","1","1","5","5","20","0.27","false","Status-based","0.05","20","Asynchronized","3","7","10078","571","98","168"
"87","1","2","5","5","20","0.27","false","Status-based","0.05","20","Asynchronized","3","7","10078","151","11","168"
"88","1","3","5","5","20","0.27","false","Status-based","0.05","20","Asynchronized","3","7","10078","90","10","168"
"89","1","4","5","5","20","0.27","false","Status-based","0.05","20","Asynchronized","3","7","10078","87","5","168"
"90","1","5","5","5","20","0.27","false","Status-based","0.05","20","Asynchronized","3","7","10078","51","4","168"
"91","1","1","5","5","20","0.27","false","Status-based","0.05","30","Asynchronized","3","7","10078","328","19","168"
"92","1","2","5","5","20","0.27","false","Status-based","0.05","30","Asynchronized","3","7","10078","137","10","168"
"93","1","3","5","5","20","0.27","false","Status-based","0.05","30","Asynchronized","3","7","10078","129","12","168"
"94","1","4","5","5","20","0.27","false","Status-based","0.05","30","Asynchronized","3","7","10078","140","22","168"
"95","1","5","5","5","20","0.27","false","Status-based","0.05","30","Asynchronized","3","7","10078","172","20","168"
"96","1","1","5","5","20","0.27","false","Status-based","0.05","40","Asynchronized","3","7","10078","481","71","168"
"97","1","2","5","5","20","0.27","false","Status-based","0.05","40","Asynchronized","3","7","10078","192","12","168"
"98","1","3","5","5","20","0.27","false","Status-based","0.05","40","Asynchronized","3","7","10078","204","22","168"
"99","1","4","5","5","20","0.27","false","Status-based","0.05","40","Asynchronized","3","7","10078","201","34","168"
"100","1","5","5","5","20","0.27","false","Status-based","0.05","40","Asynchronized","3","7","10078","209","63","168"
"101","1","1","5","5","20","0.27","false","Status-based","0.05","10","Asynchronized","3","7","10078","549","131","168"
"102","1","2","5","5","20","0.27","false","Status-based","0.05","10","Asynchronized","3","7","10078","231","14","168"
"103","1","3","5","5","20","0.27","false","Status-based","0.05","10","Asynchronized","3","7","10078","91","9","168"
"104","1","4","5","5","20","0.27","false","Status-based","0.05","10","Asynchronized","3","7","10078","81","1","168"
"105","1","5","5","5","20","0.27","false","Status-based","0.05","10","Asynchronized","3","7","10078","63","0","168"
"106","1","1","5","5","20","0.27","false","Status-based","0.05","20","Asynchronized","3","7","10078","559","151","168"
"107","1","2","5","5","20","0.27","false","Status-based","0.05","20","Asynchronized","3","7","10078","148","11","168"
"108","1","3","5","5","20","0.27","false","Status-based","0.05","20","Asynchronized","3","7","10078","93","9","168"
"109","1","4","5","5","20","0.27","false","Status-based","0.05","20","Asynchronized","3","7","10078","36","11","168"
"110","1","5","5","5","20","0.27","false","Status-based","0.05","20","Asynchronized","3","7","10078","55","7","168"
"111","1","1","5","5","20","0.27","false","Status-based","0.05","30","Asynchronized","3","7","10078","374","54","168"
"112","1","2","5","5","20","0.27","false","Status-based","0.05","30","Asynchronized","3","7","10078","154","15","168"
"113","1","3","5","5","20","0.27","false","Status-based","0.05","30","Asynchronized","3","7","10078","121","22","168"
"114","1","4","5","5","20","0.27","false","Status-based","0.05","30","Asynchronized","3","7","10078","155","11","168"
"115","1","5","5","5","20","0.27","false","Status-based","0.05","30","Asynchronized","3","7","10078","148","14","168"
"116","1","1","5","5","20","0.27","false","Status-based","0.05","40","Asynchronized","3","7","10078","456","43","168"
"117","1","2","5","5","20","0.27","false","Status-based","0.05","40","Asynchronized","3","7","10078","193","23","168"
"118","1","3","5","5","20","0.27","false","Status-based","0.05","40","Asynchronized","3","7","10078","141","27","168"
"119","1","4","5","5","20","0.27","false","Status-based","0.05","40","Asynchronized","3","7","10078","163","30","168"
"120","1","5","5","5","20","0.27","false","Status-based","0.05","40","Asynchronized","3","7","10078","188","50","168"
"121","1","1","5","5","20","0.27","false","Status-based","0.05","10","Asynchronized","3","7","10078","587","187","168"
"122","1","2","5","5","20","0.27","false","Status-based","0.05","10","Asynchronized","3","7","10078","225","45","168"
"123","1","3","5","5","20","0.27","false","Status-based","0.05","10","Asynchronized","3","7","10078","96","7","168"
"124","1","4","5","5","20","0.27","false","Status-based","0.05","10","Asynchronized","3","7","10078","67","8","168"
"125","1","5","5","5","20","0.27","false","Status-based","0.05","10","Asynchronized","3","7","10078","42","4","168"
"126","1","1","5","5","20","0.27","false","Status-based","0.05","20","Asynchronized","3","7","10078","458","107","168"
"127","1","2","5","5","20","0.27","false","Status-based","0.05","20","Asynchronized","3","7","10078","103","13","168"
"128","1","3","5","5","20","0.27","false","Status-based","0.05","20","Asynchronized","3","7","10078","105","7","168"
"129","1","4","5","5","20","0.27","false","Status-based","0.05","20","Asynchronized","3","7","10078","49","3","168"
"130","1","5","5","5","20","0.27","false","Status-based","0.05","20","Asynchronized","3","7","10078","54","8","168"
"131","1","1","5","5","20","0.27","false","Status-based","0.05","30","Asynchronized","3","7","10078","345","54","168"
"132","1","2","5","5","20","0.27","false","Status-based","0.05","30","Asynchronized","3","7","10078","140","15","168"
"133","1","3","5","5","20","0.27","false","Status-based","0.05","30","Asynchronized","3","7","10078","102","8","168"
"134","1","4","5","5","20","0.27","false","Status-based","0.05","30","Asynchronized","3","7","10078","145","8","168"
"135","1","5","5","5","20","0.27","false","Status-based","0.05","30","Asynchronized","3","7","10078","146","31","168"
"136","1","1","5","5","20","0.27","false","Status-based","0.05","40","Asynchronized","3","7","10078","473","58","168"
"137","1","2","5","5","20","0.27","false","Status-based","0.05","40","Asynchronized","3","7","10078","163","18","168"
"138","1","3","5","5","20","0.27","false","Status-based","0.05","40","Asynchronized","3","7","10078","180","29","168"
"139","1","4","5","5","20","0.27","false","Status-based","0.05","40","Asynchronized","3","7","10078","162","25","168"
"140","1","5","5","5","20","0.27","false","Status-based","0.05","40","Asynchronized","3","7","10078","224","41","168"
"141","1","1","5","5","20","0.27","false","Status-based","0.05","10","Asynchronized","3","7","10078","737","200","168"
"142","1","2","5","5","20","0.27","false","Status-based","0.05","10","Asynchronized","3","7","10078","162","20","168"
"143","1","3","5","5","20","0.27","false","Status-based","0.05","10","Asynchronized","3","7","10078","87","9","168"
"144","1","4","5","5","20","0.27","false","Status-based","0.05","10","Asynchronized","3","7","10078","71","6","168"
"145","1","5","5","5","20","0.27","false","Status-based","0.05","10","Asynchronized","3","7","10078","69","3","168"
"146","1","1","5","5","20","0.27","false","Status-based","0.05","20","Asynchronized","3","7","10078","404","84","168"
"147","1","2","5","5","20","0.27","false","Status-based","0.05","20","Asynchronized","3","7","10078","142","36","168"
"148","1","3","5","5","20","0.27","false","Status-based","0.05","20","Asynchronized","3","7","10078","96","7","168"
"149","1","4","5","5","20","0.27","false","Status-based","0.05","20","Asynchronized","3","7","10078","58","2","168"
"150","1","5","5","5","20","0.27","false","Status-based","0.05","20","Asynchronized","3","7","10078","50","8","168"
"151","1","1","5","5","20","0.27","false","Status-based","0.05","30","Asynchronized","3","7","10078","329","26","168"
"152","1","2","5","5","20","0.27","false","Status-based","0.05","30","Asynchronized","3","7","10078","137","12","168"
"153","1","3","5","5","20","0.27","false","Status-based","0.05","30","Asynchronized","3","7","10078","98","26","168"
"154","1","4","5","5","20","0.27","false","Status-based","0.05","30","Asynchronized","3","7","10078","148","10","168"
"155","1","5","5","5","20","0.27","false","Status-based","0.05","30","Asynchronized","3","7","10078","139","13","168"
"156","1","1","5","5","20","0.27","false","Status-based","0.05","40","Asynchronized","3","7","10078","339","45","168"
"157","1","2","5","5","20","0.27","false","Status-based","0.05","40","Asynchronized","3","7","10078","182","17","168"
"158","1","3","5","5","20","0.27","false","Status-based","0.05","40","Asynchronized","3","7","10078","178","32","168"
"159","1","4","5","5","20","0.27","false","Status-based","0.05","40","Asynchronized","3","7","10078","220","38","168"
"160","1","5","5","5","20","0.27","false","Status-based","0.05","40","Asynchronized","3","7","10078","158","52","168"
"161","1","1","5","5","20","0.27","false","Status-based","0.05","10","Asynchronized","3","7","10078","746","225","168"
"162","1","2","5","5","20","0.27","false","Status-based","0.05","10","Asynchronized","3","7","10078","238","26","168"
"163","1","3","5","5","20","0.27","false","Status-based","0.05","10","Asynchronized","3","7","10078","98","4","168"
"164","1","4","5","5","20","0.27","false","Status-based","0.05","10","Asynchronized","3","7","10078","57","7","168"
"165","1","5","5","5","20","0.27","false","Status-based","0.05","10","Asynchronized","3","7","10078","53","2","168"
"166","1","1","5","5","20","0.27","false","Status-based","0.05","20","Asynchronized","3","7","10078","519","122","168"
"167","1","2","5","5","20","0.27","false","Status-based","0.05","20","Asynchronized","3","7","10078","130","8","168"
"168","1","3","5","5","20","0.27","false","Status-based","0.05","20","Asynchronized","3","7","10078","87","7","168"
"169","1","4","5","5","20","0.27","false","Status-based","0.05","20","Asynchronized","3","7","10078","71","7","168"
"170","1","5","5","5","20","0.27","false","Status-based","0.05","20","Asynchronized","3","7","10078","59","0","168"
"171","1","1","5","5","20","0.27","false","Status-based","0.05","30","Asynchronized","3","7","10078","341","49","168"
"172","1","2","5","5","20","0.27","false","Status-based","0.05","30","Asynchronized","3","7","10078","147","10","168"
"173","1","3","5","5","20","0.27","false","Status-based","0.05","30","Asynchronized","3","7","10078","127","27","168"
"174","1","4","5","5","20","0.27","false","Status-based","0.05","30","Asynchronized","3","7","10078","166","13","168"
"175","1","5","5","5","20","0.27","false","Status-based","0.05","30","Asynchronized","3","7","10078","134","26","168"
"176","1","1","5","5","20","0.27","false","Status-based","0.05","40","Asynchronized","3","7","10078","383","50","168"
"177","1","2","5","5","20","0.27","false","Status-based","0.05","40","Asynchronized","3","7","10078","170","17","168"
"178","1","3","5","5","20","0.27","false","Status-based","0.05","40","Asynchronized","3","7","10078","149","35","168"
"179","1","4","5","5","20","0.27","false","Status-based","0.05","40","Asynchronized","3","7","10078","185","30","168"
"180","1","5","5","5","20","0.27","false","Status-based","0.05","40","Asynchronized","3","7","10078","219","27","168"
"181","1","1","5","5","20","0.27","false","Status-based","0.05","10","Asynchronized","3","7","10078","569","193","168"
"182","1","2","5","5","20","0.27","false","Status-based","0.05","10","Asynchronized","3","7","10078","172","16","168"
"183","1","3","5","5","20","0.27","false","Status-based","0.05","10","Asynchronized","3","7","10078","104","1","168"
"184","1","4","5","5","20","0.27","false","Status-based","0.05","10","Asynchronized","3","7","10078","49","3","168"
"185","1","5","5","5","20","0.27","false","Status-based","0.05","10","Asynchronized","3","7","10078","32","5","168"
"186","1","1","5","5","20","0.27","false","Status-based","0.05","20","Asynchronized","3","7","10078","379","89","168"
"187","1","2","5","5","20","0.27","false","Status-based","0.05","20","Asynchronized","3","7","10078","142","28","168"
"188","1","3","5","5","20","0.27","false","Status-based","0.05","20","Asynchronized","3","7","10078","66","8","168"
"189","1","4","5","5","20","0.27","false","Status-based","0.05","20","Asynchronized","3","7","10078","53","3","168"
"190","1","5","5","5","20","0.27","false","Status-based","0.05","20","Asynchronized","3","7","10078","65","1","168"
"191","1","1","5","5","20","0.27","false","Status-based","0.05","30","Asynchronized","3","7","10078","426","35","168"
"192","1","2","5","5","20","0.27","false","Status-based","0.05","30","Asynchronized","3","7","10078","169","14","168"
"193","1","3","5","5","20","0.27","false","Status-based","0.05","30","Asynchronized","3","7","10078","97","9","168"
"194","1","4","5","5","20","0.27","false","Status-based","0.05","30","Asynchronized","3","7","10078","116","25","168"
"195","1","5","5","5","20","0.27","false","Status-based","0.05","30","Asynchronized","3","7","10078","122","14","168"
"196","1","1","5","5","20","0.27","false","Status-based","0.05","40","Asynchronized","3","7","10078","338","48","168"
"197","1","2","5","5","20","0.27","false","Status-based","0.05","40","Asynchronized","3","7","10078","176","18","168"
"198","1","3","5","5","20","0.27","false","Status-based","0.05","40","Asynchronized","3","7","10078","187","23","168"
"199","1","4","5","5","20","0.27","false","Status-based","0.05","40","Asynchronized","3","7","10078","197","29","168"
"200","1","5","5","5","20","0.27","false","Status-based","0.05","40","Asynchronized","3","7","10078","167","71","168"
